Item,Price,Rating,Number_of_reviews,Status,Image_link
"Theragun Therabody SmartGoggles Bluetooth Heated Massaging Device for Sleep, Focus, and Stress, White",199.$.00,3.7,152,Out of stock,https://i5.walmartimages.com/asr/97e1387e-143c-49b8-b83c-f4332aa4e9b7.a56dc156099920e5fa6704c0e3e48527.png?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"Straight Talk Apple iPhone 15 Pro, 128GB, Blue - Prepaid Smartphone",999.$.00,4.5,28,Out of stock,https://i5.walmartimages.com/asr/c3cca415-412a-4670-97b1-764f2da40509.1772f29c3ca7b7c15ac1d8e01d6cd9a6.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"Merkury Innovations Smart RGB Strip Lights, 16ft, Sound-Sync",12.$.88,2.9,91,Out of stock,https://i5.walmartimages.com/asr/e19bf4f9-1205-491e-b445-7325c9391f65.a21bf1adb1aa4e6c04a639c65a758b62.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"Monster LED 6.5ft Multi-Color Color Flow Light Strip, Indoor, Flash Mode Remote, Corded Electric",9.$.00,4.2,132,Out of stock,https://i5.walmartimages.com/asr/1286d28f-8af7-4eb3-939f-44fee3055e8a.541be0e9586fbeda63f31758467875df.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"Microsoft Surface Laptop Copilot+ PC 13.8"" Touchscreen Snapdragon X Elite Processor 16GB RAM 512GB SSD (7th Edition) Graphite","1,399.$.99",,,Out of stock,https://i5.walmartimages.com/asr/d666e1a0-4ce0-431c-ab0d-182aabab423d.12a762b45ac91486edbe6a4cdf50dd7a.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"TCL 85"" S Class 4K UHD HDR LED Smart TV with Google TV (NEW 2024) - 85S551G",798.$.00,,,Out of stock,https://i5.walmartimages.com/asr/4ab089af-800c-4a33-ba4f-2231b0e7cb43.8d0ac24476d5e2030c5c0f51028442bb.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
ASUS Vivobook Go 15.6 inch Laptop Intel Core i3-N305 8GB RAM 128GB UFS Cool Silver,279.$.00,5,3,Out of stock,https://i5.walmartimages.com/asr/6b48323a-d363-4d18-bc27-a0688440603f.904534b81c8e6f2b02647b0e2b0d60db.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"TCL 75"" S Class 4K UHD HDR LED Smart TV with Google TV (NEW 2024) - 75S551G",528.$.00,,,Out of stock,https://i5.walmartimages.com/asr/2366829b-749b-4144-832a-1d4ff22b6026.2e53dc7e4b37d352d272acd2654b88be.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
Logitech MX Mechanical Wireless Illuminated Performance Keyboard,132.$.97,2,4,Out of stock,https://i5.walmartimages.com/seo/Logitech-MX-Mechanical-Wireless-Illuminated-Performance-Keyboard_f1374237-9407-4e8e-9bae-bad881ca0a13.c6805d3d13ed1f1ed3c9637e4d36391d.jpeg?odnHeight=784&odnWidth=580&odnBg=FFFFFF
"Microsoft Surface Laptop 7 13.8"" Touchscreen Laptop, Qualcomm Snapdragon X Plus X1P-64-100, 512GB SSD, Windows 11 Home","1,199.$.99",,,Out of stock,https://i5.walmartimages.com/asr/67e1fb41-684e-405d-8593-3c97a427ab66.900cc93a2e6aacffe254062223928a88.webp?odnHeight=784&odnWidth=580&odnBg=FFFFFF
