Item,Price,Rating,Number_of_reviews,Status,Image_link
"LG 65"" Class 4K UHD OLED Web OS 24 Smart 120 Hz TV with Dolby Vision - OLED65C4PUA","2,096.$.99",,,,./index5_files/b664443e-9a8e-447f-b6c6-5a0171417438.d959dd3604a1b00d83307b56880e24b9.jpeg
AT&T Samsung Galaxy S24 Plus Marble Gray 256GB,23.$.59/month,4,1,,./index5_files/AT-T-Samsung-Galaxy-S24-Plus-Marble-Gray-256GB_c71f1ed5-791b-4a84-8d9e-63c41515564e.4c4f2a6ce20069a6cc244fe97a5e9551.jpeg
"Mobile Pixels Glance 15.6"" Full HD - 60 Hz - 16:9 Portable LCD Monitor",158.$.92,4.8,4,,./index5_files/66ad2078-6bb9-4559-b410-f26bbbbd9b95.316e78630f89fc38e1e4c0c9a1323f58.png
"TCL 75"" S Class 4K UHD HDR LED Smart TV with Google TV (NEW 2024) - 75S551G",528.$.00,,,,./index5_files/2366829b-749b-4144-832a-1d4ff22b6026.2e53dc7e4b37d352d272acd2654b88be.jpeg
"TCL 55"" S Class 4K UHD HDR LED Smart TV with Google TV (NEW 2024) - 55S551G",278.$.00,,,,./index5_files/4ce84c05-ee3b-4b1c-b43d-fb49744d9498.35917029709ea8b64b95e176865226b7.jpeg
Verizon Samsung Galaxy S24 Plus Gray 256GB,23.$.59/month,,,,./index5_files/Verizon-Samsung-Galaxy-S24-Plus-Gray-256GB_c71f1ed5-791b-4a84-8d9e-63c41515564e.4c4f2a6ce20069a6cc244fe97a5e9551.jpeg
"Roku 75-Inch Select Series 4K HDR Smart Roku TV with Roku Enhanced Voice Remote, Brilliant 4K Picture, Automatic Brightness, & Seamless Streaming",598.$.00,4.4,120,,./index5_files/f4851bf3-062b-4bda-b4a7-2568c181d3dc.1215a5d7b485fe97b22ba749b6ac79ce.jpeg
"Philips 70"" Class 4K Ultra HD (2160p) Google Smart LED Television (70PUL7553/F7)",498.$.00,4.8,897,,./index5_files/15b06ff0-5939-4859-bdf3-55aac4000088.c3ff915880297522f3440263c1955f99.jpeg
Verizon Samsung Galaxy S24 Black 128GB,19.$.42/month,,,,./index5_files/Verizon-Samsung-Galaxy-S24-Black-128GB_c508250a-2656-48b0-80c7-2c3ad2c7e944.c39aaf227fb4388cb42a061fee421b1b.jpeg
SAMSUNG 55 Class DU8000B Crystal UHD 4K Smart TV UN55DU8000BXZA 2024,528.$.00,4.5,87,,./index5_files/b8b5b43d-b631-4a88-a58a-ed5cbd9b3977.da6913d1c7355665dc77869f80b2e348.jpeg
SAMSUNG 85 Class QN800D Neo QLED 8K Smart TV QN85QN800DFXZA 2024,"5,797.$.99",5,30,,./index5_files/cf86930d-0946-42c3-80b9-d121c6c57efb.ac87267be8616be821745ba2cd55bd1f.jpeg
"Monster LED 13ft Multi-Color Color Flow Light Strip, Customizable, Indoor, Corded Electric",16.$.99,4.4,89,,./index5_files/23d1a3f1-b8c7-4593-bafb-7fddda46d8f5.4cdbce33509d9318a0ca71f0330dbd15.jpeg
"Mobile Pixels Glance Portable 15.6-In. 1080p Full HD OLED Monitor, 101-1012P01",283.$.45,,,,./index5_files/d16efbc7-fdd9-40a7-8d8b-ab75f5f73ea5.db13be17d4b020ce140aa4e2c669694e.jpeg
SAMSUNG 85 Class QN900D Neo QLED 8K Smart TV QN85QN900DFXZA 2024,"7,497.$.99",4.8,43,,./index5_files/354b10a8-b69f-4a3f-bed8-3e4089dcbde0.1e2fb49c2ec8669dccaf20ca67ad781e.jpeg
AT&T Samsung Galaxy S24 Onyx Black 128GB,19.$.42/month,,,,./index5_files/AT-T-Samsung-Galaxy-S24-Onyx-Black-128GB_c508250a-2656-48b0-80c7-2c3ad2c7e944.c39aaf227fb4388cb42a061fee421b1b.jpeg
"Logitech Wave Keys MK670 Wireless Keyboard and Mouse Combo for Windows/Mac with Integrated Palm-rest, Graphite",67.$.55,5,5,,./index5_files/439c18ee-9330-4e62-96f9-67bff759b01c.c2e765b389282161b1f5dd00e1de6afd.jpeg
"MP TRIO 2.0 13.3-In. 1080p Portable Laptop Monitors, 101-1003P04",384.$.19,,,,./index5_files/2bd33532-5833-4961-9f86-2d2f4db3bd2f.06484d0d1ba0a58c6cd41defd98a52c1.jpeg
SAMSUNG 65 Class QN900D Neo QLED 8K Smart TV QN65QN900DFXZA 2024,"4,797.$.99",4.9,42,,./index5_files/354b10a8-b69f-4a3f-bed8-3e4089dcbde0.1e2fb49c2ec8669dccaf20ca67ad781e.jpeg
"Straight Talk Apple iPhone 15 Pro, 256GB, Blue - Prepaid Smartphone","1,099.$.00",,,,./index5_files/c3cca415-412a-4670-97b1-764f2da40509.1772f29c3ca7b7c15ac1d8e01d6cd9a6.jpeg
SAMSUNG 65 Class QN800D Neo QLED 8K Smart TV QN65QN800DFXZA 2024,"3,297.$.99",5,30,,./index5_files/cf86930d-0946-42c3-80b9-d121c6c57efb.ac87267be8616be821745ba2cd55bd1f.jpeg
"ASUS ZenScreen 15.6"" Portable USB Type-C Monitor- FHD, IPS Panel, Compatible with USB Type-C and Type-A Sources, Flicker Free, Blue Light Filter, Kickstand Design - MB16ACV",209.$.00,4.6,11,,./index5_files/e4095dc2-47d7-4626-90f5-559632e273c9.fdbb62ca6c9d450c6812efe390ada081.jpeg
"Belkin USB C Hub, 11-in-1 Multi-Port Laptop Dock with 4K HDMI, DP, VGA, USB C Docking Station with 100W Power Delivery, USB A, Gigabit Ethernet, SD, MicroSD, 3.5mm Port For MacBook Pro, Air and More",119.$.99,4.2,56,,./index5_files/69e19b44-c4da-4a81-9da7-2056891cf170.4bc440249b074ff290f630f9c6bda3b2.jpeg
