Item,Price,Rating,Number_of_reviews,Status,Image_link
"Straight Talk Apple iPhone 15, 128GB, Yellow - Prepaid Smartphone",829.$.00,5,1,,./index5_files/330f7f9a-2b2c-4cdf-9746-d96a5d455211.b43f1a112efa664d81ab0318d37b848e.jpeg
SAMSUNG 55 Class S95D OLED Smart TV QN55S95DAFXZA 2024,"2,297.$.99",4.8,45,,./index5_files/64faa17b-7e12-40f4-a2f8-2ac42c21cc95.65a7141edfce8a36558f390a7ad3d08c.jpeg
"Mobile Pixels DUEX Max DS 14.1-In. IPS LCD Slide-out Display for Laptops, 101-1007P06",214.$.52,5,1,,./index5_files/14b3d95d-ebc3-4a97-b69d-120be09cbcb7.a3f425b9f8c3c836b7d4166c9d598a66.jpeg
"Vivitar RGB Neon Tube Wall Light with Remote, Light Reacts to Music, Tubes Allow Different Configurations",28.$.88,4.2,98,,./index5_files/124205a1-9e93-4eb2-85d7-4daa646708e7.2afacfc87110ef481a98f2e1b2a11e44.jpeg
SAMSUNG 85 Class QN90D Neo QLED 4K Smart TV QN85QN90DAFXZA 2024,"4,497.$.99",4.8,47,,./index5_files/a28f3fe2-f39d-411f-b5a8-6e3b189ad9d5.2ae44690fcb50f240fc38763b081ee69.jpeg
"Samsung Galaxy S24+ 256GB Unlocked Android Cell Phone with 50MP Camera, Marble Gray",999.$.99,4.8,811,,./index5_files/0baff90c-01ae-4485-ab85-f81ccca9f974.d0848585981ca88f555922e5a3a3ed8b.jpeg
"Mobile Pixels Fold 15.6-In. 1080p Monitor, Black, 101-1010P01",162.$.24,5,2,,./index5_files/e115f939-e428-485c-a835-c9b9c8097aa6.bdcff026aab08ebd92bb3031a1bb48d3.jpeg
"Belkin SoundForm Inspire Wireless Over-Ear Headset for Kids,Headphones for Girls and Boys, Online Learning, & Travel with Built-In Microphone-Compatible with iPhone, iPad, and More - Lavender",34.$.99,4.9,44,,./index5_files/d55f6f71-5372-45ab-973f-4c87139579b9.f9e6d63fa313879a142a7be4211e10dd.jpeg
SAMSUNG 65 Class QN85D NEO QLED 4K Smart TV QN65QN85DBFXZA 2024,"1,697.$.99",4.8,56,,./index5_files/933ec437-6800-446d-bf56-45d73eaf2f06.1fa9b8fa3127f1bd8f23af1befb98030.jpeg
"onn. 10.4"" Tablet Pro, 64GB (2023 Model) - Gray",129.$.00,4.4,443,,./index5_files/onn-10-4-Tablet-Pro-64GB-2023-Model-Gray_2238c925-2d77-44b0-9bfa-b8e1bd23c0e3.b419c5e2346570c6f6d1f94f44d1ea68.jpeg
SAMSUNG Portable SSD T7 1TB USB 3.2 External - Indigo Blue (MU-PC1T0H/AM),89.$.00,4.7,561,,./index5_files/049f7781-e9f4-483e-9000-d40722da3b37.8e8e77e6c0b21300684c67cc1c82aff9.jpeg
"Samsung Galaxy S24+ Plus Cell Phone, 256GB AI Unlocked Android Cell Phone, Onyx Black",999.$.99,4.8,803,,./index5_files/a29ac546-2e36-4bf3-bfff-898597e59212.4c355539c163ba09d0dfed955a26821b.jpeg
SAMSUNG 43 Class LS03D The Frame QLED HDR QN43LS03DAFXZA 2024,897.$.99,4.6,44,,./index5_files/96597279-fad3-4c71-912d-80f0ad6229ae.74f8762fdf2b675b319fbc29a9797dd0.jpeg
"Straight Talk Apple iPhone 15 Plus, 256GB, Green - Prepaid Smartphone","1,029.$.00",2.1,7,,./index5_files/8b2589ee-408b-4336-a4e3-998c6f47826d.d70e1d2b0e1c822cd8d1b8f6cfbc8cbe.jpeg
