Item,Price,Rating,Number_of_reviews,Status,Image_link
Honeywell 2-in-1 Pack Power Strips - 6 AC Outlets Surge + 3 AC 2 USB Strip (1 USB-A + 1 USB-C 2.1A) - Pink,21.$.98,5,10,,./index4_files/Honeywell-2-in-1-Pack-Power-Strips-6-AC-Outlets-Surge-3-AC-2-USB-Strip-1-USB-A-1-USB-C-2-1A-Pink_90f8f1de-e791-415a-9e8c-57a48405e62e.63fb4b540ec467c1f27aa1d017224a6a.jpeg
SAMSUNG 55 Class S90D OLED Smart TV QN55S90DAFXZA 2024,"1,597.$.99",4.9,32,,./index4_files/62429bfb-31be-45de-997e-5cab570fc633.618a024bab6aa1b586e6a6dddbb31709.jpeg
Mobile Pixels 101-1003P01 Trio Portable 12.5 Inch Monitor Extension for Laptops,179.$.99,4.3,612,,./index4_files/Mobile-Pixels-101-1003P01-Trio-Portable-12-5-Inch-Monitor-Extension-for-Laptops_9f9c8afa-fdbf-4ca4-b518-abc80c73b5bf.3b06657be3413dc983ed548b6d0081f0.jpeg
"Samsung Galaxy Tab S9 11"" Tablet, 128GB, Android, Graphite",657.$.00,4.8,317,,./index4_files/Samsung-Galaxy-Tab-S9-11-Tablet-128GB-Android-Graphite_05560228-0370-4126-a308-06a1c2eae2a1.4f893309a7250352a893610ee121a164.jpeg
SAMSUNG 55 Class QN85D NEO QLED 4K Smart TV QN55QN85DBFXZA 2024,"1,197.$.99",4.9,56,,./index4_files/933ec437-6800-446d-bf56-45d73eaf2f06.1fa9b8fa3127f1bd8f23af1befb98030.jpeg
"Monster LED 100ft Multicolor Light Strip, Indoor, Bedrooms, Remote Control, Corded Electric",28.$.88,3.9,1235,,./index4_files/d71e80b7-61b5-49e7-ac8c-5fab08eb98f9.7a91b2b59d2d0c35f9cbc88765587387.jpeg
Logitech MX Mechanical Wireless Illuminated Performance Keyboard,132.$.97,2,4,,./index4_files/Logitech-MX-Mechanical-Wireless-Illuminated-Performance-Keyboard_f1374237-9407-4e8e-9bae-bad881ca0a13.c6805d3d13ed1f1ed3c9637e4d36391d.jpeg
"SAMSUNG 75"" Class Q60DB QLED 4K Smart TV QN75Q60DBFXZA 2024",,4.9,48,,./index4_files/42abaded-1ae4-4436-9d18-f3d341e49528.230436c12562f17018fe7b8442218324.jpeg
"Samsung Galaxy S24 Ultra 256GB Unlocked Android Cell Phone with 200MP Camera, Titanium Gray","1,299.$.99",4.8,2206,,./index4_files/71c0c798-b95e-4f98-a0e6-861c120d62c4.d734b7b56042548bbf08c3e9df73dec4.png
"Belkin SoundForm Adapt Wireless Over-Ear Headset,Headphones for Work, Play, Gaming, & Travel with Built-in Boom Microphone - Compatible with iPhone, iPad, Galaxy, and More - Black",39.$.99,4.8,52,,./index4_files/a14ba42a-782a-47c9-8383-e789dee6a370.c69d7f0ac3035801676e730967227e7b.jpeg
"Logitech G Pro X Superlight 2 Lightspeed Wireless Gaming Mouse, Lightweight, Black",128.$.00,,,,./index4_files/9d25ad65-1d7a-43cc-aef9-e4c97e13cf3a.502d0a94948b7b5142ae22488d59ebdd.png
"TCL 40"" Class S Class 1080p FHD HDR LED Smart TV with Google TV, 40S350G",148.$.00,4.1,218,,./index4_files/9d180f10-8379-492f-a49d-e827a8e72dc8.96d1a88d52046c547b437c4203ebcaaa.jpeg
Mobile Pixels 101-1004P01 Trio Portable 14 Inch Monitor Extension for Laptops,189.$.95,4.2,621,,./index4_files/Mobile-Pixels-101-1004P01-Trio-Portable-14-Inch-Monitor-Extension-for-Laptops_5db9bf49-6676-4316-9b27-6dc3304d2766.b7cd809529346c0b8fed11a9d7ed22e4.jpeg
Verizon Apple iPhone 15 Pro Max 256GB Natural Titanium,29.$.14/month,4.3,6,,./index4_files/Verizon-Apple-iPhone-15-Pro-Max-256GB-Natural-Titanium_43b58742-b6ad-491a-a795-e6c2eb6bcc6f.d6fa026332e1941b129f607c592844ab.jpeg
SAMSUNG 65 Class DU8000B Crystal UHD 4K Smart TV UN65DU8000BXZA 2024,648.$.00,4.5,86,,./index4_files/2d1135cf-f51d-4bb1-82d0-78058990e5c0.b1340be90ca5fc99a55223680a230d6c.jpeg
AT&T Apple iPhone 15 Pro Max 256GB Natural Titanium,29.$.14/month,4.1,9,,./index4_files/AT-T-Apple-iPhone-15-Pro-Max-256GB-Natural-Titanium_43b58742-b6ad-491a-a795-e6c2eb6bcc6f.d6fa026332e1941b129f607c592844ab.jpeg
"Roku 50-Inch Select Series 4K HDR Smart Roku TV with Roku Enhanced Voice Remote, Brilliant 4K Picture, Automatic Brightness, & Seamless Streaming",248.$.00,4.4,167,,./index4_files/fcbcdcb4-ce52-4bd6-9b8d-d5b51872ecb3.1d07fc261defb3bdca540634f8e6a0ad.jpeg
"Bose QuietComfort Headphones Noise Cancelling Over-Ear Wireless Bluetooth Earphones, Black",349.$.00,4.7,359,,./index4_files/Bose-QuietComfort-Headphones-Noise-Cancelling-Over-Ear-Wireless-Bluetooth-Earphones-Black_b4f60e4d-0971-42d4-a487-bbe631927fb0.b8b79c4c2e8326b3f7f0d2388c25b697.jpeg
"TCL 85"" S Class 4K UHD HDR LED Smart TV with Google TV (NEW 2024) - 85S551G",798.$.00,,,,./index4_files/4ab089af-800c-4a33-ba4f-2231b0e7cb43.8d0ac24476d5e2030c5c0f51028442bb.jpeg
"Razer Seiren Mini USB Ultra Compact Condenser Microphone for Streaming and Gaming on PC, Black",42.$.50,4.5,135,,./index4_files/0f4fb55c-82e4-4d04-91f7-f28c264b2d93.99c030728a11cf21eaef3834be4cdeba.jpeg
HP Chromebook X360 14 inch FHD IPS Touch 2-in-1 Laptop Intel Processor N100 4GB RAM 64GB eMMC Sky Blue,279.$.00,4.3,9,,./index4_files/383a420a-aabf-4aec-80e2-403238eefed1.da0d8583786edcfa7ae8047341285b72.jpeg
SAMSUNG 65 Class LS03D The Frame QLED HDR QN65LS03DAFXZA 2024,"1,897.$.99",4.6,44,,./index4_files/96597279-fad3-4c71-912d-80f0ad6229ae.74f8762fdf2b675b319fbc29a9797dd0.jpeg
"SteelSeries Apex Pro TKL Wireless Mechanical Gaming Keyboard  Tenkeyless  RGB  USB-C - PC, Mac",189.$.99,4.4,7,,./index4_files/05c5747a-bb7e-4186-abf5-f4e70861608f.2ea0afe85ba948514d49ea67c0dc94e7.jpeg
"Hisense 55-Inch Class U8 Series Mini-LED Pro+ ULED 4K UHD Google Smart TV (55U8N) - QLED Quantum Dot Color, Dolby Vision, Native 144Hz, Full Array Local Dimming, Motion Rate 480",798.$.00,4.2,5,,./index4_files/3a08d34b-cc0b-4c4c-8649-b65503857b65.83fe8a32dd5a32a3d5d4b9d3bf8c5516.jpeg
"Bose QuietComfort Ultra Wireless Noise Cancelling Bluetooth Headphones, Black",429.$.00,4.7,535,,./index4_files/Bose-QuietComfort-Ultra-Wireless-Noise-Cancelling-Bluetooth-Headphones-Black_4a17732c-c548-4d96-af9c-ebb490efd56b.24ccd50051e17a63c1b4ed144ba13956.jpeg
MP 101-1008P01 Glance Pro 15.6-In. Touch-Screen Display Monitor,390.$.78,4.5,51,,./index4_files/43cb5ec2-3ad2-4b4d-8389-52c9a2a8d3cb.d944c5bb3735ea76d5ced92ab1c29a64.jpeg
SAMSUNG 50 Class QN90D Neo QLED 4K Smart TV QN50QN90DAFXZA 2024,"1,397.$.99",4.8,47,,./index4_files/a28f3fe2-f39d-411f-b5a8-6e3b189ad9d5.2ae44690fcb50f240fc38763b081ee69.jpeg
"TCL 98"" Q Class 4K UHD HDR QD-Mini LED Smart TV with Google TV (NEW 2024)  98QM851G","4,998.$.00",,,,./index4_files/3df0c533-acdb-4f34-b8ce-66cc3d03c98f.8b79e0370d4b26b5a91131d7c4db0626.jpeg
"Logitech Wireless Presenter R400, Wireless Presentation Remote Clicker with Laser Pointer, Black",23.$.99,4.6,40,,./index4_files/90ad4bcb-0f7c-4184-a8e3-b26fcb4a28c4_1.b30011dac9578734baf7e34ff6536433.jpeg
"MobileX SIM Card Starter Kit, No Airtime - Prepaid",9.$.88,3.7,61,,./index4_files/9a12fce7-e446-406d-b948-d9fc56e53adf.3ea167a48ac5e95dcaa666f532f284cd.jpeg
"TCL 43"" Q Class 4K UHD HDR QLED Smart TV with Google TV (NEW 2024)  43Q651G",278.$.00,5,1,,./index4_files/97020acc-63ed-4737-9719-e7f7d8d1c069.cb07b77da7dd9118e6562fdcae94bda8.jpeg
"Bose QuietComfort Ultra Wireless Earbuds, Noise Cancelling Bluetooth Headphones, Black",299.$.00,4.4,1084,,./index4_files/Bose-QuietComfort-Ultra-Wireless-Earbuds-Noise-Cancelling-Bluetooth-Headphones-Black_7c5b6e04-a3ce-49fb-9331-9789add5621c.3ab90d2d610b5aad78b59882059d66ae.jpeg
"Asus ZenScreen MB166C 16"" Class Full HD LCD Monitor, 16:9, Black",119.$.99,4,24,,./index4_files/658a8872-8380-4c5a-bf6e-300fcd52a1a2.f8b636d3a7ec3d51ebcad1dc05ef0e43.png
Apple Watch Series 9 With Blood Oxygen. GPS + Cellular 45mm Midnight Aluminum Case with Midnight Sport Loop.,429.$.00,4.5,329,,./index4_files/Apple-Watch-Series-9-With-Blood-Oxygen-GPS-Cellular-45mm-Midnight-Aluminum-Case-with-Midnight-Sport-Loop_655a5853-7127-453a-bda2-177b80f6c342.3a1ed6c9f9e140aa2aa7718323313f26.jpeg
"TCL 85"" Q Class 4K UHD HDR QD-Mini LED Smart TV with Google TV (NEW 2024)  85QM851G","2,498.$.00",,,,./index4_files/81478d36-b220-4392-aff7-62f8a3d66441.c11d12e090170bb58598e79189b19b32.jpeg
"eufy Security Smart Lock C210 5-in-1 Keyless Entry Door Lock, Built-in Wi-Fi, No Bridge Required",79.$.98,3,2,,./index4_files/1057d6a0-f9bb-497b-9cce-4eb72de023f5.8575d89774d228bf3352dcb59f485854.jpeg
