Item,Price,Rating,Number_of_reviews,Status,Image_link
"SAMSUNG 32"" Smart Monitor M7 (M70D) 4K UHD with Streaming TV, Speakers and USB-C",399.$.99,,,,./index8_files/b8469dad-9f08-4fdf-a685-b499f060f079.a0006f71cc35ee2ea5151413bf93f24b.jpeg
"SteelSeries Arena 7 Illuminated 2.1 Gaming Speakers  2-Way Speaker Design  Powerful Bass, Subwoofer  Reactive RGB Lighting  USB, Aux, Optical, Wired  Bluetooth  PC, PlayStation, Mobile, Mac",299.$.00,4.9,17,,./index8_files/8ac4a5bb-d69e-401f-b7fe-1ea538617713.3fc15b450e41b877f33599da40a4240e.jpeg
"Hisense 65-Inch Class U6 Series Mini-LED ULED 4K UHD Google Smart TV (65U6N) - QLED Quantum Dot Color, Dolby Vision, Full Array Local Dimming, Game Mode Plus",598.$.00,5,8,,./index8_files/f1baa20f-55ca-45da-a2af-9ed4e574c93b.7f41dff70fa9d246cb3870dbf0822a08.jpeg
Motorola Edge 2023 8/256GB (Unlocked),406.$.05,4,39,,./index8_files/39159c38-14e9-44ef-956a-b5b21038d632.f9e0150f9e0f056e09002c4c7a4122ee.jpeg
MSI Summit 13.3 inch Touch 2-in-1 Laptop Intel Core Ultra 7-155H Intel Evo Edition 16GB RAM 1TB NVMe SSD Stylus Included Black,999.$.00,,,,./index8_files/cc99f9b1-58b6-4f74-ba49-f128173b8014.0ceaab11337926b28e6ad0b30678584e.jpeg
"Straight Talk Apple iPhone 15 Plus, 256GB, Green - Prepaid Smartphone","1,029.$.00",2.1,7,,./index8_files/8b2589ee-408b-4336-a4e3-998c6f47826d.d70e1d2b0e1c822cd8d1b8f6cfbc8cbe.jpeg
"TCL 55"" Q Class 4K UHD HDR QD-Mini LED Smart TV with Google TV (NEW 2024)  55QM751G",698.$.00,,,,./index8_files/97c7fb31-3252-4a7f-a8f9-d0eae81608ca.b161f5a98aa86aba74eddf737f45f484.jpeg
moto g stylus 5G 2023 256GB (Unlocked),295.$.00,4.2,72,,./index8_files/78b9bb5f-94a6-4390-9257-5b0b73adcecb.391a83e7ae814e0305931a6012273867.jpeg
"Razer Cobra Pro Lightweight Wireless PC Gaming Mouse with Razer Chroma RGB, Customizable Controls, 77g, Black",109.$.99,4.8,23,,./index8_files/d00c5c3d-f3fc-48a6-b1d8-49b223778807.c72c5b3a425efcf1940f833032f8b274.jpeg
"eufy Security Smart Lock C210 5-in-1 Keyless Entry Door Lock, Built-in Wi-Fi, No Bridge Required",79.$.98,3,2,,./index8_files/1057d6a0-f9bb-497b-9cce-4eb72de023f5.8575d89774d228bf3352dcb59f485854.jpeg
"Hisense 55-Inch Class U8 Series Mini-LED Pro+ ULED 4K UHD Google Smart TV (55U8N) - QLED Quantum Dot Color, Dolby Vision, Native 144Hz, Full Array Local Dimming, Motion Rate 480",798.$.00,4.2,5,,./index8_files/3a08d34b-cc0b-4c4c-8649-b65503857b65.83fe8a32dd5a32a3d5d4b9d3bf8c5516.jpeg
"TCL 65"" Q Class 4K UHD HDR QD-Mini LED Smart TV with Google TV (NEW 2024)  65QM751G",898.$.00,,,,./index8_files/b26d9974-13b3-44a5-aee0-39445c7086c2.3367310158c0fcd09d7c9a038dbd76d7.jpeg
"SteelSeries Apex Pro TKL Wireless Mechanical Gaming Keyboard  Tenkeyless  RGB  USB-C - PC, Mac",189.$.99,4.4,7,,./index8_files/05c5747a-bb7e-4186-abf5-f4e70861608f.2ea0afe85ba948514d49ea67c0dc94e7.jpeg
"eufy Security SoloCam S230 Wireless 2K Solar Powered Camera w/Spotlight, No Monthly Fee",129.$.99,4.8,23,,./index8_files/e922cf53-70b9-4f6e-91d9-a5a5a249c05b.5b93a2fab39b6de083cdcc623b888967.jpeg
"SAMSUNG 27"" Smart Monitor M5 (M50D) FHD with Streaming TV and Speakers",279.$.99,,,,./index8_files/b1cc1d90-cc38-4f2b-8524-f9c513ff213f.e5b5cbdb4e93210f86c42a2211f904db.jpeg
"TCL 75"" Q Class 4K UHD HDR QLED Smart TV with Google TV (NEW 2024)  75Q651G",698.$.00,,,,./index8_files/c269f1ed-b33b-4b69-a9f7-f6a2eda5c26c.184ca52430ba14a45e309f1014de71ce.jpeg
"j5create USB-C Dual 4K HDMI Dock Without PD 3.1 Pass Through Charging (5.12x5.12 in and 14.7 oz), JCD3198",86.$.99,4.3,21,,./index8_files/534c3a1c-b97a-445d-adbc-2134fdb936e6.57a590701f898d33d07a4bfb94913f28.jpeg
"Straight Talk Apple iPhone 15, 128GB, Yellow - Prepaid Smartphone",829.$.00,5,1,,./index8_files/330f7f9a-2b2c-4cdf-9746-d96a5d455211.b43f1a112efa664d81ab0318d37b848e.jpeg
"Mobile Pixels Inc. Geminos 1080p 24-In. Dual-Screen Desktop Monitor, 116-1001P01",695.$.42,3.6,40,,./index8_files/e799684f-ac38-4a42-8b4d-dfd2fceede5b.bf3e0ab130988977505c514605d7344f.jpeg
Hisense 50-Inch Class A7 Series Dolby Vision HDR 4K UHD Google Smart TV (50A7N),248.$.00,4.9,23,,./index8_files/48bcb534-b73d-4697-b9b5-87483e575b4d.ce20de86c67452056480e5938e4934d6.jpeg
"Microsoft Surface Laptop Copilot+ PC 13.8"" Touchscreen Snapdragon X Plus Processor 16GB Memory 256GB SSD (7th Edition) Platinum",999.$.99,,,,./index8_files/8e6e0a02-25d3-4bc7-a263-cc109a8c8e24.7d136fbc214783d8159559dfb64f03e9.jpeg
"MP TRIO 2.0 13.3-In. 1080p Portable Laptop Monitors, 101-1003P04",384.$.19,,,,./index8_files/2bd33532-5833-4961-9f86-2d2f4db3bd2f.06484d0d1ba0a58c6cd41defd98a52c1.jpeg
"TCL 50"" S Class 4K UHD HDR LED Smart TV with Google TV (NEW 2024) - 50S551G",258.$.00,,,,./index8_files/32428734-7857-4a2a-ab09-76b1993afe55.2b7ce1d1d6c109818ba80a1f3988d38e.jpeg
"Razer Naga V2 HyperSpeed Wireless MMO Gaming Mouse for PC, 19 Buttons, 2.4GHz, Bluetooth, Black",99.$.99,4.4,23,,./index8_files/1896545a-9013-4b97-8c9d-5095629dd45c.2827c6d7903b14682522578cc6bdd223.jpeg
"TCL 50"" Q Class 4K UHD HDR QLED Smart TV with Google TV (NEW 2024)  50Q651G",348.$.00,,,,./index8_files/740d9672-ec93-437a-9d9c-9cae7d9db62e.c18e9b73f6d6f6ad46d8ed8f70155a81.jpeg
"j5create USB-C Dual 4K HDMI 10Gbps Mini Dock (2.24x5.8in and 4oz) 100W, JCD398",85.$.00,4.6,20,,./index8_files/2b969f4d-5321-4579-9181-c88aac50c9e4.e49d492b5f29170c8bf7076a9813bad1.jpeg
"Microsoft Surface Pro Copilot+ PC Touchscreen 13"" LCD Snapdragon X Plus Processor 16GB RAM 256GB SSD (11th Edition) Platinum",999.$.99,,,,./index8_files/8b0767c1-3020-4663-9eaf-d1ea5abde4df.99c2a326ddfb7cbbbd7d6952acc89ea8.jpeg
"Arzopa 15.6'' 144Hz Portable Gaming Monitor, 1080P FHD USBC HDMI, External Second Screen for Laptop, PS5",119.$.99,4.5,11,,./index8_files/c3da30b5-4359-4a72-a314-52d74e797507.6a128141ce14e667f5d527513fe893e7.jpeg
Verizon Apple iPhone 15 Pro 128GB Natural Titanium,26.$.37/month,4.6,7,,./index8_files/Verizon-Apple-iPhone-15-Pro-128GB-Natural-Titanium_79baf43f-cbc5-44b3-b066-5b7c88b6dfec.77e2bd5aadd90f19f91b7846d14c2b0e.jpeg
